Immutable:
0xfcfd8e9eb9d6ec1518326de5385476d4d26b0682d70267add0084193ae403652 ethereum:0xB6846927447e4764acd53b0b354BEd939f9220d7
0x95275ddb3e393113e19b284d6806675c79ab6698047f0cf6bdf7bb5ca1568c6d ethereum:0xF27d54dB0587442b01d6036C0F7f67CDaaBa1743
0x665ede6663477caf46bd510bb4ba7de3f2a6d8f51f840d058bad706018c67453 ethereum:0xE7Fd68F6a389DE7D7C9cFCfCE15486885abeDD44
0xef6480951f06efac6ba95f0530ca0340d138c7208111550c58acbd6481520d79 ethereum:0x485858BA818aab8744f2932A4982bfB0E7Db0005
0xdec3a533c2d2004adafb78bf9d2e3f16e42a1c061ac62c31795c3e0bd006426b ethereum:0x0D736853812A12F085DE867aDF4eA4ABA9521Fc0
0xa461f73f68673cc277f554dc5888d74dc47e1f756d93f9c3f2813f801fb1c269 ethereum:0x5dC91D01290af474CE21DE14c17335a6dEe4d2a8

Pythonized result:
0xb4f2982da610e459869524c6366a4b364337b95f231f4109941deb2cc5afa258 ethereum 0x72427dA7EFBa1585E94F30C72221d8d394aE3Bb7
0x4c5ff062896caf72eb8999dc0f839adca5dbec7dd71c1aa6d0b1defce8ee6046 ethereum 0x27e7a3A81741B9fcc5Ad7edCBf9F8a72a5c00428
0x0c3feee8ba16b88486431df7d8867f64bc50ea12410ff83491b8020bdc49a9fd ethereum 0xdfdA04f980bE6A64E3607c95Ca26012Ab9aA46d3
0x5dbde25ce90571f7dd8e189ec68615bd76cab9ddb0ba7690b721e9e03c70b6ed ethereum 0x1066CEcC8880948FE55e427E94F1FF221d626591
0x6014bf86ee4c408054ad942b00365111c902b30d650ad8ed97b0cd56ca1d1e20 ethereum 0x5aED5f8A1e3607476F1f81c3d8fe126deB0aFE94
0xc90d60d6db95e55c93637eee14d0d8f4034a14d5f50fc0e8561e389073c9816a ethereum 0x0eA7372338a589e7f0b00E463a53AA464ef04e17
0x9f764f06f42aed913df011cc8dc09d70319d488074f11885eed5edbb66c6f5b4 ethereum 0x7439d8d4F3b9d9B6222f3E9760c75a47e08a7b3f
0xcb5aa9193bb40ce04bdf027377926cf735cd52ee9823923cb55fce302ad76513 ethereum 0x806421D09cDb253aa9d128a658e60c0B95eFFA01
0xabf06072746c465404cbb92f513666e15a5409faccce7f76f4880a9b125b8a2e ethereum 0x72f193d0F305F532C87a4B9D0A2F407a3F4f585f
0x714cd478f69088c5274871f1be4e27736aedacf59858caeb9dbea9e47d23d213 ethereum 0xA0Ed0562629D45B88A34a342f20dEb58c46C15ff
