14388880;14398880;18
14398880;14408880;370
14408880;14418880;292
14418880;14428880;216
14428880;14438880;676
14438880;14448880;706
14448880;14458880;1180
14458880;14468880;438
14468880;14478880;572
14478880;14488880;420
14488880;14498880;560
14498880;14508880;462
14508880;14518880;266
14518880;14528880;320
14528880;14538880;258
14538880;14548880;238
14548880;14558880;198
14558880;14568880;346
14568880;14578880;242
14578880;14588880;226
14588880;14598880;176
14598880;14608880;252
14608880;14618880;244
14618880;14628880;262
14628880;14638880;478
14638880;14648880;256
14648880;14658880;276
14658880;14668880;264
14668880;14678880;292
14678880;14688880;262
14688880;14698880;136
14698880;14708880;146
14708880;14718880;288
14718880;14728880;388
14728880;14738880;1720
14738880;14748880;1640
14748880;14758880;600
14758880;14768880;568
14768880;14778880;162
14778880;14788880;286
14788880;14798880;258
14798880;14808880;384
14808880;14818880;244
14818880;14828880;184
14828880;14838880;160
14838880;14848880;156
14848880;14858880;198
14858880;14868880;160
14868880;14878880;130
14878880;14888880;228
14888880;14898880;156
14898880;14908880;152
14908880;14918880;180
14918880;14928880;140
14928880;14938880;146
14938880;14948880;128
14948880;14958880;196
14958880;14968880;174
14968880;14978880;180
14978880;14988880;496
14988880;14998880;326
14998880;15008880;1974
15008880;15018880;1958
15018880;15028880;1956
15028880;15038880;2180
15038880;15048880;172
15048880;15058880;444
15058880;15068880;528
15068880;15078880;575
15078880;15088880;296
15088880;15098880;308
15098880;15108880;304
15108880;15118880;254
15118880;15128880;218
15128880;15138880;280
15138880;15148880;268
15148880;15158880;390
15158880;15168880;242
15168880;15178880;258
15178880;15188880;738
15188880;15198880;676
15198880;15208880;480
15208880;15218880;470
15218880;15228880;445
15228880;15238880;464
15238880;15248880;412
15248880;15258880;387
15258880;15268880;490
15268880;15278880;588
15278880;15288880;482
15288880;15298880;414
15298880;15308880;412
15308880;15318880;330
15318880;15328880;304
15328880;15338880;372
15338880;15348880;314
15348880;15358880;636
15358880;15368880;372
15368880;15378880;688
15378880;15388880;448
15388880;15398880;374
15398880;15408880;410
15408880;15418880;396
15418880;15428880;512
15428880;15438880;407
15438880;15448880;435
15448880;15458880;414
15458880;15468880;436
15468880;15478880;700
15478880;15488880;494
15488880;15498880;516
15498880;15508880;352
15508880;15518880;342
15518880;15528880;374
15528880;15538880;538
15538880;15548880;388
15548880;15558880;314
15558880;15568880;452
15568880;15578880;970
15578880;15588880;3684
15588880;15598880;1982
15598880;15608880;1831
15608880;15618880;1894
15618880;15628880;1098
15628880;15638880;1380
15638880;15648880;1084
15648880;15658880;1446
15658880;15668880;1602
15668880;15678880;1088
15678880;15688880;1220
15688880;15698880;980
15698880;15708880;544
15708880;15718880;394
15718880;15728880;420
15728880;15738880;542
15738880;15748880;562
15748880;15758880;488
15758880;15768880;712
15768880;15778880;442
15778880;15788880;2132
15788880;15798880;3309
15798880;15808880;5594
15808880;15818880;8100
15818880;15828880;5746
15828880;15838880;5107
15838880;15848880;4325
15848880;15858880;5067
15858880;15868880;5878
15868880;15878880;4054
15878880;15888880;3156
15888880;15898880;2838
15898880;15908880;4508
15908880;15918880;4408
15918880;15928880;2714
15928880;15938880;1746
15938880;15948880;2004
15948880;15958880;2724
15958880;15968880;2362
15968880;15978880;2104
15978880;15988880;2558
15988880;15998880;3520
15998880;16008880;2228
16008880;16018880;2918
16018880;16028880;2308
16028880;16038880;2616
16038880;16048880;2510
16048880;16058880;2542
16058880;16068880;2538
16068880;16078880;2866
16078880;16088880;2442
16088880;16098880;2708
16098880;16108880;2075
16108880;16118880;2248
16118880;16128880;1964
16128880;16138880;1580
16138880;16148880;1802
16148880;16158880;1854
16158880;16168880;2865
16168880;16178880;1826
16178880;16188880;2182
16188880;16198880;1717
16198880;16208880;1436
16208880;16218880;1538
16218880;16228880;1700
16228880;16238880;1996
16238880;16248880;1966
16248880;16258880;1444
16258880;16268880;1440
16268880;16278880;1486
16278880;16288880;1613
16288880;16298880;1394
16298880;16308880;980
16308880;16318880;1018
16318880;16328880;1324
16328880;16338880;1128
16338880;16348880;1323
16348880;16358880;1494
16358880;16368880;2047
16368880;16378880;2050
16378880;16388880;1784
16388880;16398880;2179
16398880;16408880;1884
16408880;16418880;1854
16418880;16428880;1859
16428880;16438880;768
16438880;16448880;862
16448880;16458880;832
16458880;16468880;966
16468880;16478880;1150
16478880;16488880;1262
16488880;16498880;1128
16498880;16508880;1074
16508880;16518880;1098
16518880;16528880;1216
16528880;16538880;1040
16538880;16548880;1016
16548880;16558880;1242
16558880;16568880;1154
16568880;16578880;1348
16578880;16588880;1043
16588880;16598880;1118
16598880;16608880;1376
16608880;16618880;1077
16618880;16628880;1028
16628880;16638880;1030
16638880;16648880;1214
16648880;16658880;1198
16658880;16668880;1269
16668880;16678880;1447
16678880;16688880;3286
